Date,Year,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max)(kg),Hospital Names,Temperature(C),Temperature(F)
2008-05-06,2008,1 Jumaada al-awal 1429 A.H,Working Day,,"8:40:00 AM,9:30:00 AM",bannu,32.935,70.6688,kpk,Bannu Police & Rangers  check post,police_rangers,high,open,,police_rangers,,3,7,10,15,1,0.0,['dhq cmh'],28.62,83.516
2008-05-09,2008,4 Jumaada al-awal 1429 A.H,Working Day,,Friday Night,swat,35.2227,72.4258,kpk,Mingora Police & Rangers Station ,police_rangers,high,closed,,police_rangers,,,1,3,4,1,0.0,['district headquarters hospital saidu sharif'],23.985,75.173
2008-05-18,2008,13 Jumaada al-awal 1429 A.H.,Holiday,weekend,8:00:00 PM,mardan,34.1982,72.0444,kpk,Military run bakery near a punjab regiment center in Mardan cantt,military,high,closed,,military,,11,13,23,25,1,0.0,['cmh district headqurtar hospital'],29.61,85.298
2008-06-02,2008,28 Jumaada al-awal 1429 A.H.,Working Day,,"1:00:00 PM,1:05PM",islamabad,33.718,73.0718,capital,IslamabadDanish Embassy,foreign,high,closed,,foreigner,jews,,8,25,30,1,50.0,['pims federal government service hospital'],26.5,79.7
2008-07-06,2008,3 Rajab 1429 A.H.,Holiday,weekend,"7:50:00,7:45:00 PM",islamabad,33.718,73.0718,capital,Melody market near lal masjid,market,low,open,,police_rangers,,15,20,20,47,1,5.0,['pims poly clinic federal government service hospital'],26.86,80.348
2008-07-13,2008,10 Rajab 1429 A.H,Holiday,weekend,,d.g khan,31.8238,70.9095,kpk,Shiite gathering -Near kotli imam Hussain,religious,medium,closed,,religious,shiite,,1,3,4,1,0.0,,31.075,87.935
2008-08-13,2008,12 SHa`baan 1429 A.H,Working Day,,11:35:00 PM,lahore,31.5451,74.3407,punjab,neaar Iqbal Town Police & Rangers Station Lahoreat dubai CHOWK SIGNAL,police_rangers,high,open,,police_rangers,,8,9,20,35,1,0.0,['sheikh zahid hospital'],25.835,78.503
2008-08-19,2008,18 SHa`baan 1429 A.H.,Working Day,,1:30:00 PM,d.g khan,31.8238,70.9095,kpk,Distric headquarter hospital,hospital,low,closed,during the shiite protest against the death of shiite govt official,civilian,shiite,30,32,33,55,1,0.0,['combined military hospital'],31.495,88.691
2008-08-21,2008,20 SHa`baan 1429 A.H,Working Day,,2:37:00 PM,rawalpindi,33.6058,73.0437,punjab,Wah Cant Pakistn Ordinance Factories ,military,high,closed,,government official,,70,100,67,200,2,0.0,['pof hospital'],28.89,84.002
2008-08-23,2008,22 SHa`baan 1429 A.H,Working Day,,7:45:00 AM,swat,35.2227,72.4258,kpk,Charbagh checkpost,police_rangers,high,open,,police_rangers,,7,15,,20,1,100.0,['saidu sharif hospital'],25.69,78.242
2008-08-29,2008,28 SHa`baan 1429 A.H,Working Day,,7:00:00 AM,kohat,33.5833,71.4333,kpk,army base camp/emergency center near Kohattunnel,military,high,closed,,military,,2,5,25,39,1,0.0,['cmh kohat'],27.705,81.869
2008-09-06,2008,6 RamaDHaan 1429 A.H,Working Day,,,peshawar,34.0043,71.5448,kpk,Zangali Checkpost on Kohatroad,police_rangers,high,open,,police_rangers,,30,35,70,90,1,150.0,"['lady reading hospital', 'khyber teaching', 'hayatabad complex']",23.44,74.192
2008-09-16,2008,16 RamaDHaan 1429 A.H,Working Day,,Half hour after aftar,swat,35.2227,72.4258,kpk,Kabal check post ,police_rangers,high,open,,police_rangers,,2,10,,25,1,0.0,,25.95,78.71
2008-09-20,2008,20 RamaDHaan 1429 A.H,Working Day,,,waziristan,32.9746,70.1456,kpk,military convoy on Miranshah road near Norak,attack on Convoy,high,open,,military,,7,17,5,20,1,0.0,['cmh bannu hospital'],22.06,71.708
2008-09-20,2008,20 RamaDHaan 1429 A.H,Working Day,,8:05:00 PM,islamabad,33.718,73.0718,capital,IslamabadMarriott Hotal ,hotel,medium,closed,,foreigner,,40,60,200,300,1,1000.0,['poly clinic   pims'],24.41,75.938
2008-09-22,2008,22 RamaDHaan 1429 A.H,Working Day,,,swat,35.2227,72.4258,kpk,military security checkpost in Madian Town swat,military,high,open,,military,,9,13,2,3,1,0.0,,21.005,69.809
2008-09-24,2008,24 RamaDHaan 1429 A.H,Working Day,,,quetta,30.2095,67.0182,balochistan,Quettacantt military Check post ,military,high,open,,military,,1,14,22,25,1,8.0,['cmh hospital civil hospital'],23.225,73.805
2008-10-03,2008,3 SHawwal 1429 A.H,Holiday,eid-ul-fitar,4:00:00 PM,peshawar,34.0043,71.5448,kpk,wali bagh Charsadda,residence,medium,closed,,government official,,4,5,,18,1,0.0,['district hospital charsadda'],29.445,85.001
2008-10-06,2008,6 SHawwal 1429 A.H,Working Day,,4:45:00 PM,bhakkar,31.6216,71.065,punjab,Bhakkar Rasheed Noranni MNA house,residence,medium,closed,,government official,,22,26,60,100,1,0.0,['nishtar hospital multan'],29.025,84.245
2008-10-09,2008,9 SHawwal 1429 A.H,Working Day,,12:45:00 PM,islamabad,33.718,73.0718,capital,IslamabadPolice & Rangers line-anti terrorist squad building,police_rangers,high,closed,lawmakers gathered for a secret security briefing,police_rangers,,,,6,12,1,60.0,[' pims federal government services'],24.17,75.506
2008-10-09,2008,9 SHawwal 1429 A.H,Working Day,,12:55:00 PM,khyber agency,34.0211,71.2874,fata,near michni post in landi kotal,attack on Convoy,high,open,,foreigner,christian,,0,,0,1,0.0,,24.47,76.046
2008-10-10,2008,10 SHawwal 1429 A.H,Working Day,,,orakzai agency,32.9746,70.1456,fata,anti-taliban Jirga-Khadezai area in upper Orakzai Agency,parks_grounds,low,open,,anti_militants,sunni,40,85,90,200,1,8.0,"['kohatdvisional headquarters hospital  gahluj hospital hospitals in hangu ', ' kohat']",20.58,69.044
2008-10-16,2008,16 SHawwal 1429 A.H,Working Day,,,swat,35.2227,72.4258,kpk,Mingora Police & Rangers Station ,police_rangers,high,closed,,police_rangers,,,4,,27,1,0.0,,19.835,67.703
2008-10-26,2008,26 SHawwal 1429 A.H,Holiday,weekend,9:45:00 PM,mohmand agency,32.9746,70.1456,fata,Mohmad Agency-naqi Checkpost ,military,high,open,,military,,11,10,,5,1,0.0,['ghalaanai hospital'],15.35,59.63
2008-10-29,2008,29 SHawwal 1429 A.H.,Working Day,,2:15:00 PM,bannu,32.9861,70.6042,kpk,Militay checkpost cantoment area bannu,military,high,open,,military,,,,,14,1,0.0,['combined military hospital'],22.09,71.762
2008-10-31,2008,2 Thw al-Qi`dah 1429 A.H,Working Day,,1:30:00 PM,mardan,34.1982,72.0444,kpk,outside the office of Mardan DIG in malakand mardan road,police_rangers,high,closed,,police_rangers,,9,10,21,25,1,0.0,['district headquarter hospital'],20.895,69.611
2008-11-02,2008,5 Thw al-Qi`dah 1429 A.H,Holiday,weekend,9:00 AM,waziristan,32.3202,69.8597,fata,Zalai FC checkpost wana,military,high,open,,military,,,8,,8,1,0.0,,21.735,71.123
2008-11-04,2008,6 Thw al-Qi`dah 1429 A.H,Working Day,,,hangu,33.5351,71.0713,kpk,Doabba-checkpost near surpul on hangu tal road,police_rangers,high,open,,police_rangers,,,7,,4,1,40.0,['cmh hangu'],21.11,69.998
2008-11-06,2008,8 Thw al-Qi`dah 1429 A.H,Working Day,,,swat,35.2227,72.4258,kpk,SwatPolice & Rangers check post ,police_rangers,high,open,,police_rangers,,,2,,10,1,0.0,['syedo shrif hospital'],16.485,61.673
2008-11-06,2008,8 Thw al-Qi`dah 1429 A.H,Working Day,,,bajaur agency,34.8718,71.5249,fata,Salarzai Jirga  in batmali area-Bajaur,parks_grounds,low,open,tribes were discussing formation of lashkar,anti_militants,sunni,16,23,31,45,1,0.0,,16.705,62.069
2008-11-11,2008,13 Thw al-Qi`dah 1429 A.H,Working Day,,,peshawar,34.0043,71.5448,kpk,Qayyum Stadium ,parks_grounds,low,open,Sport Stadium,government official,,3,4,13,20,1,7.5,['lady reading hospital combined military hospital'],19.17,66.506
2008-11-12,2008,14 Thw al-Qi`dah 1429 A.H,Working Day,,10:00:00 AM,charsadda,34.1509,71.7359,kpk,attack on security forces camp in Subhan Khaur school-shabqadar area near muhamand agency boder,military,high,closed,,military,,,7,10,12,1,0.0,,19.165,66.497
2008-11-17,2008,19 Thw al-Qi`dah 1429 A.H.,Working Day,,11:15:00 AM,swat,35.2227,72.4258,kpk,Security checkpost in gashgur area of  Khawazakhela,military,high,open,,military,,,10,,8,1,0.0,,14.075,57.335
2008-11-20,2008,22 Thw al-Qi`dah 1429 A.H.,Working Day,,during maghrib prayer,bajaur agency,34.8718,71.5249,fata,Mosque in Badaan area of mamund,religious,medium,closed,maghrib prayer,religious,sunni,,9,,,1,0.0,['district hospital bajur'],14.17,57.506
2008-11-28,2008,30 Thw al-Qi`dah 1429 A.H.,Working Day,,,buner,34.3943,72.6151,kpk,near Tarezi Chowk on the main Bannu-Kohatroad.,attack on Convoy,high,open,,police_rangers,,,9,,16,1,0.0,,16.61,61.898
2008-12-01,2008,3 Thw al-Hijjah 1429 A.H,Working Day,,Monday Morning,swat,35.2227,72.4258,kpk,sangota checkpost in mingora,military,high,open,,military,,,10,,50,1,0.0,,15.45,59.81
2008-12-03,2008,5 Thw al-Hijjah 1429 A.H,Working Day,,,charsadda,34.1509,71.7359,kpk, Army Convoy passing from shabqadar,attack on Convoy,high,open,Army convoy ,military,,5,6,8,10,1,0.0,,15.815,60.467
2008-12-05,2008,8 Thw al-Hijjah 1429 A.H,Working Day,,12:30:00pm,orakzai agency,32.9746,70.1456,kpk,bazar of Kalaia area of lower Orakzai angency,market,low,open,,civilian,,6,10,8,15,1,0.0,['kalidya hospital'],12.465,54.437
2008-12-09,2008,11 Thw al-Hijjah 1429 A.H,Working Day,,,buner,34.3943,72.6151,kpk,in Dagar-an area of Buner ,parks_grounds,low,open,,government official,,,1,,4,1,0.0,,14.39,57.902
2008-12-28,2008,,Holiday,weekend,10:30:00 AM,buner,34.3943,72.6151,kpk,Buner Poling station-Infront of govt high school Shalbandi,government,high,open,,government official,,34,37,,16,,0.0,,11.41,52.538
2009-01-04,2009,7 MuHarram 1430 A.H,Holiday,weekend,7:30:00 PM,d.g khan,31.8238,70.9095,kpk,multan road in Deara Ismail Khan,attack on Convoy,high,open,muharram ul haram rally,police_rangers,,7,10,21,25,1,10.0,['poly clinic multan'],11.445,52.601
2009-01-04,2009,7 MuHarram 1430 A.H,Holiday,weekend,,bannu,32.9861,70.6042,kpk,near a check-post in Officers’ Colony,police_rangers,high,open,,police_rangers,,,1,,2,1,0.0,,8.275,46.895
2009-01-23,2009,26 MuHarram 1430 A.H. ,Working Day,,,swat,35.3833,72.1833,kpk,near Mingora town,military,high,open,,military,,,2,11,25,1,0.0,,12.95,55.31
2009-02-05,2009,10 safar 1430 A.H.,Working Day,,6.35 pm,d.g khan,30.05,70.6333,punjab,Outside Jhar ali Imambargah-in muslim town area ,religious,medium,open,,religious,shiite,30,32,48,55,1,0.0,"['local hospital in dg khan', 'nishtar hospital']",15.105,59.189
2009-02-05,2009,10 safar 1430 A.H.,Working Day,,,swat,35.3833,72.1833,kpk,near a Police & Rangers station in the Mingora town of SwatDistrict,police_rangers,high,open,,police_rangers,,,12,,,,0.0,,9.435,48.983
2009-02-06,2009,11 safar 1430 A.H,Working Day,,8.15 am,khyber agency,34.0211,71.2874,fata,Peshawar-Torkham Highway near Teddi Bazar in Jamrood ,attack on Convoy,low,open,struck the trailer when signalled to stop,foreigner,christian,,0,,7,1,0.0,['jamrud civil hospital'],10.32,50.576
2009-02-09,2009,14 safar 1430 A.H,Working Day,,,bannu,32.9861,70.6042,kpk,Police & Rangers checkpost on Baran Bridge,police_rangers,high,open,,police_rangers,,,5,17,18,1,0.0,"['dhq hospital bannu  ', ' peshawarhospital']",14.585,58.253
2009-02-20,2009,25 safar 1430 A.H,Working Day,,,d.g khan,31.8238,70.9095,kpk,funeral procession on  Dera Bannu road-near shobra hotel,parks_grounds,low,open,"Funeral Procession of
Imambargah Caretaker",civilian,shiite,30,36,150,200,1,0.0,[' dhq dikhan nishtar hospital lady reading pesh'],15.555,59.999
2009-02-21,2009,26 safar 1430 A.H,Working Day,,,bannu,32.9861,70.6042,kpk,Lakki town,police_rangers,high,open,,police_rangers,,,2,,,,0.0,,14.42,57.956
2009-02-23,2009,28 safar 1430 A.H.,Working Day,,,bannu,32.9861,70.6042,kpk,Bannu miranshah road-House of DSP,residence,medium,closed,,police_rangers,,,1,,2,,0.0,,15.7,60.26
2009-03-02,2009,5 Raby` al-awal 1430 A.H,Working Day,,,pishin,30.5833,67.0,balochistan,Killi Karbala village in Pishin district,educational,low,closed,,government official,sunni,5,6,5,12,1,0.0,['civil hospital quetta'],18.76,65.768
2009-03-11,2009,14 Raby` al-awal 1430 A.H,Working Day,,,peshawar,34.0043,71.5448,kpk,sarki gate area in Nimak Mandi area-Peshawar,market,low,open,"Inauguration  of an 
event by Sr Minister",government official,,4,5,,6,1,0.0,['lady reading hospital'],18.375,65.075
2009-03-16,2009,19 Raby` al-awal 1430 A.H,Working Day,,,rawalpindi,33.6058,73.0437,punjab,Rawalpindi cantt-Pirwadhi bus stand,transport,low,open,,civilian,,12,15,16,18,1,10.0,['dhq hospital rwp benazir hospital rwp'],20.875,69.575
2009-03-23,2009,26 Raby` al-awal 1430 A.H,Holiday,pakistan day,,islamabad,33.718,73.0718,capital,sitara maket-special branch Police & Rangers gate,police_rangers,high,open,,police_rangers,,,2,,8,1,0.0,,18.575,65.435
2009-03-26,2009,29 Raby` al-awal 1430 A.H,Working Day,,8:30:00 AM,tank,32.226,70.3761,kpk,road side restaurant opposite to military base in Jandola,market,low,open,members of peace committe -members of Turkestan group,anti_militants,sunni,7,15,,25,1,0.0,['civil hospital tank'],14.305,57.749
2009-03-27,2009,30 Raby` al-awal 1430 A.H,Working Day,,,khyber agency,34.0211,71.2874,fata,Mosque in Jamrood Tehsil on peshawar-turkham highway,religious,medium,closed,,religious,sunni,70,76,100,175,1,0.0,['peshwar hospitals'],18.595,65.471
2009-03-30,2009,3 Raby` al-THaany 1430 A.H,Working Day,,,waziristan,32.9746,70.1456,fata,Mirzail checkpost-Miranshah,attack on Convoy,high,open,security forces convoy was passing from checkpost,military,,,4,,9,1,0.0,,14.415,57.947
2009-04-04,2009,8 Raby` al-THaany 1430 A.H,Working Day,,"7.35 PM,7:37 PM",islamabad,33.718,73.0718,capital,"Margala Road Check Post
Islamabad",military,high,open,,military,,,8,4,7,1,8.0,['pimspolyclinic'],20.17,68.306
2009-04-04,2009,8 Raby` al-THaany 1430 A.H,Working Day,,,waziristan,32.9746,70.1456,fata,mirnshah security checkpost,attack on Convoy,high,open,military convoy was passing from checkpost,military,,,8,,39,1,0.0,,15.57,60.026
2009-04-05,2009,9 Raby` al-THaany 1430 A.H,Holiday,weekend,12:30:00 PM,chakwal,32.9303,72.8556,punjab,Imambargah in Chakwal ,religious,medium,closed,Shia Religious Gathering ,religious,shiite,22,27,40,60,1,0.0,,20.555,68.999
2009-04-15,2009,19 Raby` al-THaany 1430 A.H,Working Day,,Evening,charsadda,34.1509,71.7359,kpk,"Harichand Police & Rangers Post-
Charsadda",police_rangers,high,open,,police_rangers,,16,18,5,10,1,100.0,"['charsaddadhq', 'tangi hospital', 'jamalabad hospital', 'peshawarhospital']",,
2009-04-18,2009,22 Raby` al-THaany 1430 A.H,Working Day,,4.15 pm,hangu,33.5351,71.0713,kpk,Check Post close to Police & Rangers station in Doaba Area,police_rangers,high,open,,police_rangers,,21,27,26,65,1,100.0,"['civil hospital hangu', ' cmh thall']",21.175,70.115
2009-05-05,2009,10 Jumaada al-awal 1430 A.H.,Working Day,,MORNING,peshawar,34.0043,71.5448,kpk,bara qadeem Check post-on peshawar-bara road-12km west of Peshawarcantt,military,high,open,,military,,7,11,25,48,1,85.0,"['khyber teaching hospital ', ' hayatabad medical complex']",18.615,65.507
2009-05-11,2009,16 Jumaada al-awal 1430 A.H,Working Day,,9:30 AM,dara adam khel,33.6854,71.5131,kpk,check post in the Outstrikes of Darra Adamkhel-in area of Sabeena Police & Rangers station,police_rangers,high,open,,police_rangers,,10,11,20,27,1,0.0,[' lady reading hospital pesh cmh peshwar'],25.66,78.188
2009-05-21,2009,26 Jumaada al-awal 1430 A.H,Working Day,,Late Night/Evening,tank,32.226,70.3761,kpk,FC fort in Jandola,military,high,open,FC camp,military,,6,9,25,36,1,0.0,"['cmh dera', ' tankhospitals']",21.54,70.772
2009-05-27,2009,3 Jumaada al-THaany 1430 A.H,Working Day,,"10.10 AM,10:30 AM",lahore,31.5451,74.3407,punjab,hit Police & Rangers checkpost outside Rescue 15 Office and country's premier intelligence agency,police_rangers,high,open,,police_rangers,,26,27,320,370,1,125.0,"['ganga ram hospital ', ' meo', ' services hospital']",33.275,91.895
2009-05-28,2009,4 Jumaada al-THaany 1430 A.H,Working Day,,5:40pm,peshawar,34.0043,71.5448,kpk,"KohatRoad-Sira Khora-
Police & Rangers  Check Post ",police_rangers,high,open,,police_rangers,,3,5,3,9,1,5.0,['lady reading hospital peshawar'],34.19,93.542
2009-05-28,2009,4 Jumaada al-THaany 1430 A.H,Working Day,,,d.g khan,31.8238,70.9095,kpk,checkpost on circular road,police_rangers,high,open,,police_rangers,,3,5,8,12,1,160.0,,29.085,84.353
2009-06-05,2009,12 Jumaada al-THaany 1430 A.H,Working Day,,Jummah prayer time,dir,35.1977,71.8749,fata,Masjid in Hayagai Sharqai village,religious,medium,closed,,religious,sunni,,40,50,70,1,0.0,,23.36,74.048
2009-06-06,2009,13 Jumaada al-THaany 1430 A.H,Working Day,,8:35 PM,islamabad,33.718,73.0718,capital,Rescue 15 building in Islamabad,police_rangers,high,closed,Senior Police & Rangers Officials meeting,police_rangers,,2,2,4,5,1,0.0,['pims'],26.235,79.223
2009-06-09,2009,16 Jumaada al-THaany 1430 A.H,Working Day,,10.30 pm,peshawar,34.0043,71.5448,kpk,"Pearl Continental Hotel
Peshawar",hotel,medium,closed,,foreigner,,11,15,50,80,1,500.0,['lady reading hospital peshawar'],29.325,84.785
2009-06-11,2009,18 Jumaada al-THaany 1430 A.H,Working Day,,Thursday night ,peshawar,34.0043,71.5448,kpk,ring road Latifabad-Peshawar,police_rangers,high,open,,police_rangers,,1,2,8,15,1,0.0,['lrh'],30.935,87.683
2009-06-12,2009,19 Jumaada al-THaany 1430 A.H,Working Day,,After Friday prayers,lahore,31.5451,74.3407,punjab,Jamia Naeemia madrassa-Garhai Shahu area,religious,medium,closed,,religious,sunni,5,7,5,12,1,24.0,"['mayo', 'sir ganga ram servuces', 'jinnah hospital']",35.985,96.773
2009-06-12,2009,19 Jumaada al-THaany 1430 A.H,Working Day,,2.40 Pm,nowshehra,34.0322,73.0944,kpk,military run Mosque in Nowshera Cantt-on supply depot morr,religious,medium,closed,,religious,sunni,4,7,63,105,1,0.0,"['contonment hospital', 'dhq hospital', 'peshawarcmh']",29.2,84.56
2009-06-22,2009,29 Jumaada al-THaany 1430 A.H. ,Working Day,,,swat,35.3833,72.1833,kpk,Thakot Police & Rangers check-post in Battagram District.,police_rangers,high,open,,police_rangers,,,2,,7,,0.0,,27.665,81.797
2009-06-26,2009,3 Rajab 1430 A.H,Working Day,,"6:00:00 AM,6:30:00 AM",muzaffarabad,34.3597,73.4711,ajk,near non commisioned officers place-Muzaffarabad,attack on Convoy,high,open,,military,,,2,3,4,1,0.0,['cmh muzzafarabad'],33.255,91.859
2009-06-30,2009,7 Rajab 1430 A.H.,Working Day,,,khyber agency,34.0211,71.2874,fata,Quetta-Khi RCD highway-town of Torkham ,foreign,high,open,blew himself up while being searched at the pak-afghna checkpost,foreigner,sunni,1,4,10,11,1,0.0,,31.26,88.268
2009-07-01,2009,8 Rajab 1430 A.H.,Working Day,,,peshawar,34.0043,71.5448,kpk,Mashokhel Mera Area-KohatRoad,attack on Convoy,high,open,,unknown,,,1,,,1,0.0,,30.385,86.693
2009-07-02,2009,9 Rajab 1430 A.H.,Working Day,,4:30pm,rawalpindi,33.6058,73.0437,punjab,"KRL Bas at Chur Chowk
on Peshawarroad-rwp cantt",attack on Convoy,high,open,,government official,,,1,25,40,1,10.0,,27.29,81.122
2009-07-08,2009,15 Rajab 1430 A.H,Working Day,,3:00am,peshawar,34.0043,71.5448,kpk,nasir bagh road choongi bazar near Police & Rangers colony,market,low,open,,police_rangers,,,1,2,5,1,20.0,,34.825,94.685
2009-07-28,2009,6 SHa`baan 1430 A.H,Working Day,,,waziristan,32.9746,70.1456,kpk,Dirdony post on ghulam khan road-Near Miranshah,police_rangers,high,open,,police_rangers,,,2,3,5,1,0.0,,27.485,81.473
2009-08-13,2009,22 SHa`baan 1430 A.H,Working Day,,,waziristan,32.3202,69.8597,fata,wana bazar,attack on Convoy,low,open,leader of Nawaz group-a group against taliban,anti_militants,sunni,4,5,,,1,0.0,,26.925,80.465
2009-08-15,2009,24 SHa`baan 1430 A.H,Working Day,,10:00 AM,swat,35.2227,72.4258,kpk,Check post in Khawazakhela- Char Bagh road near-waliabad village,police_rangers,high,open,,police_rangers,,3,5,,4,1,0.0,['saidu sharif hospital'],32.845,91.121
2009-08-16,2009,25 SHa`baan 1430 A.H,Holiday,weekend,,swat,35.2227,72.4258,kpk,security forces check point,police_rangers,high,open,,police_rangers,,,1,,3,1,0.0,,29.985,85.973
2009-08-18,2009,27 SHa`baan 1430 A.H.,Working Day,,7:00 PM,waziristan,32.9746,70.1456,kpk,Esha check post on bannu-miranshah road,military,high,open,,military,,3,7,,3,1,0.0,,24.65,76.37
2009-08-21,2009,30 SHa`baan 1430 A.H,Working Day,,,kohat,33.5833,71.4333,kpk,BB Pakdaman Street,residence,,open,,civilian,,,0,,,1,0.0,,29.035,84.263
2009-08-22,2009,1 RamaDHaan 1430 A.H. ,Working Day,,5:00 PM,swat,35.2227,72.4258,kpk,kanju area of Kabal tehsil,residence,low,closed, Police & Rangers raid in the area ,police_rangers,,2,3,2,8,1,0.0,,26.025,78.845
2009-08-23,2009,2 RamaDHaan 1430 A.H. ,Holiday,weekend,,peshawar,34.0043,71.5448,kpk,Momin Town,residence,low,open,Fateh Khawani of Haji Mobin Afridi,anti_militants,sunni,,3,,15,1,12.0,['lady reading hospital'],29.92,85.856
2009-08-27,2009,6 RamaDHaan 1430 A.H,Working Day,,aftar time,khyber agency,34.0211,71.2874,fata,security post near Torkham border,military,high,open,,military,,20,22,10,27,1,0.0,"['l', 'i kotal hospital']",30.08,86.144
2009-08-30,2009,9 RamaDHaan 1430 A.H,Holiday,weekend,,swat,35.2227,72.4258,kpk,Police & Rangers training center in Mingora,police_rangers,high,closed,,police_rangers,,16,18,4,14,1,12.0,['saidu sharif hospital'],29.155,84.479
2009-09-12,2009,22 RamaDHaan 1430 A.H,Working Day,,5 min befor aftar,hangu,33.5351,71.0713,kpk,Doaba Police & Rangers station,police_rangers,high,closed,,police_rangers,,,,2,4,1,0.0,,26.635,79.943
2009-09-13,2009,23 RamaDHaan 1430 A.H,Holiday,weekend,,malakand,34.503,71.9046,kpk,checkpost in Thana area-near batkhela,military,high,open,,military,,,1,3,5,2,0.0,,28.31,82.958
2009-09-18,2009,28 RamaDHaan 1430 A.H,Working Day,,10:00 AM,kohat,33.5833,71.4333,kpk,Kacha pakha bazar-in Astarzai union council area,market,low,open,,civilian,,30,37,50,60,1,150.0,,29.19,84.542
2009-09-19,2009,29 RamaDHaan 1430 A.H,Working Day,,Saturday Evening,dara adam khel,33.6854,71.5131,kpk,"Security Check
Post in zorkalay area",police_rangers,high,open,,police_rangers,,,2,,1,1,0.0,,29.865,85.757
2009-09-21,2009,2 SHawwal 1430 A.H. ,Working Day,,After Midnight,totalai,34.2,72.5,kpk,Tatalai District,educational,low,closed,,government official,,,0,,,1,0.0,,26.855,80.339
2009-09-26,2009,7 SHawwal 1430 A.H,Working Day,,7.00 am,bannu,32.9861,70.6042,kpk,outside Police & Rangers Station in mundan area-Bannu,police_rangers,high,open,,police_rangers,,7,10,50,65,1,180.0,,26.375,79.475
2009-09-26,2009,7 SHawwal 1430 A.H,Working Day,,11.35 am,peshawar,34.0043,71.5448,kpk,"Fakhar e Alam Road-
Saddar-infront of Askari bank",bank,low,open,,civilian,,10,14,50,120,1,100.0,[' lady reading hospital pesh cmh peshwar'],31.075,87.935
2009-09-28,2009,9 SHawwal 1430 A.H,Working Day,,Monday Morning,bannu,32.935,70.6688,kpk,Bakakhel,attack on Convoy,low,open,molvi abdul hakeem as goin to attend jirga-anti-talibanic cleric,anti_militants,sunni,4,5,,,1,0.0,,24.33,75.794
2009-10-05,2009,16 SHawwal 1430 A.H,Working Day,,12.15 pm,islamabad,33.718,73.0718,capital,WFP office in IslamabadF-8/3,foreign,high,closed,,foreigner,christian,,5,3,8,1,8.0,,24.935,76.883
2009-10-09,2009,20 SHawwal 1430 A.H,Working Day,,12.15 PM,peshawar,34.0043,71.5448,kpk,Khayber Bazar-Peshawar,market,low,open,,civilian,,48,50,148,187,1,100.0,['lady reading hospital peshawar'],25.75,78.35
2009-10-12,2009,23 SHawwal 1430 A.H,Working Day,,1:00 PM,shangla,34.8015,72.757,kpk,near Police & Rangers station in Alpuri area of shangla District,attack on Convoy,high,open,military convoy,military,,,41,45,50,1,0.0,['alpuri hospital'],22.04,71.672
2009-10-15,2009,26 SHawwal 1430 A.H,Working Day,,8:00am,kohat,33.5833,71.4333,kpk,KohatPolice & Rangers Station ,police_rangers,high,closed,,police_rangers,,11,12,20,24,1,100.0,['kohathospital'],23.25,73.85
2009-10-15,2009,26 SHawwal 1430 A.H,Working Day,,,lahore,31.5451,74.3407,punjab,FIA Headquarter-Manawan Police & Rangers training school-elite training school,police_rangers,high,closed,,police_rangers,,,18,,50,,0.0,,25.22,77.396
2009-10-16,2009,27 SHawwal 1430 A.H,Working Day,,2:45:00 PM,peshawar,34.0043,71.5448,kpk,crimes investigation agency (CIA) in Swati gate-near Peshawarcantt,military,high,closed,,military,,14,15,15,24,1,70.0,['lady reading hospital peshawar'],23.265,73.877
2009-10-20,2009,1 Thw al-Qi`dah 1430 A.H,Working Day,,2:10:00 PM,islamabad,33.718,73.0718,capital,"Islamic International University
Islamabad",educational,low,closed,,civilian,,5,6,29,40,2,16.0,,21.895,71.411
2009-10-23,2009,4 Thw al-Qi`dah 1430 A.H,Working Day,,7.10 am,attock,33.7645,72.3667,punjab,"Kamra chowk-Aeronautical Complex
Security Check Post",military,high,open,,military,,8,9,13,17,1,0.0,['govt hospital kamra'],20.865,69.557
2009-10-24,2009,5 Thw al-Qi`dah 1430 A.H,Working Day,,late night,chakwal,32.9303,72.8556,punjab,checkpost between kalarkahar and lilla interchange-Lahoreto isb motorway-,police_rangers,high,open,,police_rangers,,,1,,,1,0.0,,20.485,68.873
2009-11-02,2009,14 Thw al-Qi`dah 1430 A.H,Working Day,,10.40 AM,rawalpindi,33.6058,73.0437,punjab,"Outside National Bank
Rawalpindi Cantt",bank,low,open,,civilian,,35,38,60,65,1,15.0,"['cmh', 'distric headquarter hospital', 'militry hospital', 'combined military hospital']",20.755,69.359
2009-11-02,2009,14 Thw al-Qi`dah 1430 A.H,Working Day,,6:40 PM,lahore,31.5451,74.3407,punjab,"Checkpost at Babu Sabu Interchange
on LahoreIslamabadMotorway",police_rangers,high,open,,police_rangers,,,,10,25,1,10.0,"['mian munchi hospital', 'mayo hospital']",21.02,69.836
2009-11-08,2009,20 Thw al-Qi`dah 1430 A.H,Holiday,weekend,9.30 AM,peshawar,34.0043,71.5448,kpk,"Cattle Market in Adezai
Village in Peshawar",market,low,open,,government official,,12,19,35,45,1,10.0,['lady reading hospital peshawar'],14.74,58.532
